統計期,機動車輛數(輛) - 總計,機動車輛數(輛) - 汽車(不含軍車),機動車輛數(輛) - 機車,肇事總件數(件),肇事率(件/萬輛),A1類發生件數(件),A1類死亡人數(人),A1類受傷人數(人),A2類發生件數(件),A2類受傷人數(人),A1類肇事件數按肇事原因(件) - 汽(機、慢)車駕駛人,A1類肇事件數按肇事原因(件) - 機件故障,A1類肇事件數按肇事原因(件) - 行人(或乘客),A1類肇事件數按肇事原因(件) - 交通管制(設施),A1類肇事件數按肇事原因(件) - 其他
98年6月,21112547.0,6722521.0,14390026.0,15215.0,7.21,155.0,163.0,50.0,15060.0,20263.0,150.0,2.0,2.0,,1.0
98年7月,21133412.0,6730165.0,14403247.0,15858.0,7.51,154.0,158.0,80.0,15704.0,21313.0,144.0,3.0,7.0,,
98年8月,21150779.0,6728995.0,14421784.0,14653.0,6.93,168.0,171.0,65.0,14485.0,19410.0,161.0,2.0,5.0,,
98年9月,21188050.0,6727932.0,14460118.0,15552.0,7.35,164.0,168.0,66.0,15388.0,20650.0,148.0,1.0,15.0,,
98年10月,21217369.0,6734840.0,14482529.0,16294.0,7.68,181.0,195.0,110.0,16113.0,21823.0,171.0,3.0,6.0,,1.0
98年11月,21253591.0,6745083.0,14508508.0,16197.0,7.63,166.0,170.0,55.0,16031.0,21567.0,158.0,,8.0,,
98年12月,21374175.0,6769845.0,14604330.0,17246.0,8.09,190.0,196.0,86.0,17056.0,22883.0,183.0,,7.0,,
99年1月,21376174.0,6779775.0,14596399.0,18195.0,8.51,197.0,218.0,87.0,17998.0,24011.0,189.0,1.0,7.0,,
99年2月,21384396.0,6782935.0,14601461.0,14875.0,6.96,144.0,153.0,42.0,14731.0,19692.0,140.0,1.0,3.0,,
99年3月,21388404.0,6782733.0,14605671.0,17924.0,8.38,172.0,176.0,51.0,17752.0,23833.0,165.0,1.0,6.0,,
99年4月,21400398.0,6786307.0,14614091.0,17304.0,8.09,153.0,160.0,66.0,17151.0,22903.0,149.0,1.0,3.0,,
99年5月,21425078.0,6793785.0,14631293.0,18329.0,8.56,135.0,136.0,48.0,18194.0,24482.0,132.0,1.0,2.0,,
99年6月,21461681.0,6805232.0,14656449.0,17736.0,8.27,145.0,149.0,48.0,17591.0,23452.0,142.0,1.0,2.0,,
99年7月,21520483.0,6823206.0,14697277.0,19076.0,8.88,157.0,163.0,76.0,18919.0,25727.0,151.0,2.0,4.0,,
99年8月,21560138.0,6828072.0,14732066.0,18940.0,8.79,174.0,176.0,61.0,18766.0,25421.0,164.0,2.0,8.0,,
99年9月,21625041.0,6838385.0,14786656.0,18567.0,8.6,180.0,182.0,73.0,18387.0,24750.0,173.0,1.0,6.0,,
99年10月,21663488.0,6851145.0,14812343.0,18978.0,8.77,173.0,174.0,64.0,18805.0,25395.0,163.0,1.0,9.0,,
99年11月,21699848.0,6866650.0,14833198.0,19256.0,8.88,155.0,165.0,81.0,19101.0,25783.0,150.0,2.0,3.0,,
99年12月,21721447.0,6876515.0,14844932.0,20471.0,9.43,188.0,195.0,77.0,20283.0,27541.0,178.0,,10.0,,
100年1月,21771805.0,6910806.0,14860999.0,20306.0,9.34,179.0,183.0,63.0,20127.0,26304.0,174.0,,5.0,,
100年2月,21796838.0,6915550.0,14881288.0,16180.0,7.43,140.0,145.0,59.0,16040.0,21509.0,136.0,,4.0,,
100年3月,21844934.0,6929339.0,14915595.0,18992.0,8.7,157.0,164.0,60.0,18835.0,25166.0,146.0,,10.0,1.0,
100年4月,21874617.0,6939723.0,14934894.0,18722.0,8.56,175.0,187.0,89.0,18547.0,25095.0,168.0,,6.0,1.0,
100年5月,21909693.0,6946885.0,14962808.0,19549.0,8.93,152.0,156.0,61.0,19397.0,26158.0,145.0,3.0,4.0,,
100年6月,21962344.0,6963371.0,14998973.0,20084.0,9.16,160.0,164.0,91.0,19924.0,27077.0,151.0,,9.0,,
100年7月,22030389.0,6985581.0,15044808.0,20219.0,9.19,159.0,166.0,67.0,20060.0,27020.0,154.0,1.0,3.0,,1.0
100年8月,22068440.0,6991046.0,15077394.0,19662.0,8.92,173.0,176.0,67.0,19489.0,26358.0,169.0,1.0,2.0,,1.0
100年9月,22142021.0,7007601.0,15134420.0,19463.0,8.8,176.0,185.0,88.0,19287.0,26245.0,171.0,1.0,3.0,,1.0
100年10月,22176566.0,7021024.0,15155542.0,20167.0,9.1,172.0,178.0,73.0,19995.0,27267.0,165.0,,7.0,,
100年11月,22205436.0,7037415.0,15168021.0,20549.0,9.26,208.0,219.0,80.0,20341.0,27310.0,190.0,1.0,16.0,1.0,
100年12月,22226684.0,7053082.0,15173602.0,21883.0,9.85,186.0,194.0,60.0,21697.0,28834.0,172.0,4.0,10.0,,
101年1月,22264616.0,7076839.0,15187777.0,21104.0,9.49,175.0,181.0,102.0,20929.0,27979.0,167.0,1.0,7.0,,
101年2月,22290937.0,7080253.0,15210684.0,19218.0,8.63,160.0,166.0,76.0,19058.0,25258.0,155.0,1.0,4.0,,
101年3月,22172862.0,7091755.0,15081107.0,21416.0,9.63,173.0,177.0,77.0,21243.0,28501.0,166.0,1.0,6.0,,
101年4月,22153548.0,7095003.0,15058545.0,20072.0,9.06,142.0,144.0,54.0,19930.0,26834.0,134.0,1.0,7.0,,
101年5月,22101725.0,7108184.0,14993541.0,20299.0,9.17,162.0,166.0,89.0,20137.0,27096.0,157.0,1.0,4.0,,
101年6月,22142519.0,7124006.0,15018513.0,19037.0,8.61,157.0,164.0,53.0,18880.0,25246.0,148.0,1.0,8.0,,
101年7月,22187830.0,7142166.0,15045664.0,21050.0,9.5,151.0,156.0,51.0,20899.0,28175.0,145.0,1.0,5.0,,
101年8月,22225576.0,7152510.0,15073066.0,19110.0,8.61,174.0,181.0,60.0,18936.0,25347.0,164.0,2.0,8.0,,
101年9月,22270837.0,7161666.0,15109171.0,20378.0,9.16,164.0,169.0,67.0,20214.0,27614.0,155.0,,9.0,,
101年10月,22304793.0,7174310.0,15130483.0,22801.0,10.23,165.0,171.0,64.0,22636.0,31106.0,158.0,,7.0,,
101年11月,22333087.0,7189653.0,15143434.0,21670.0,9.71,162.0,169.0,94.0,21508.0,29129.0,153.0,1.0,8.0,,
101年12月,22346398.0,7206770.0,15139628.0,23310.0,10.43,179.0,196.0,75.0,23131.0,30935.0,164.0,5.0,10.0,,
102年1月,22377730.0,7230034.0,15147696.0,23657.0,10.58,166.0,171.0,56.0,23491.0,31403.0,158.0,1.0,7.0,,
102年2月,22391131.0,7235495.0,15155636.0,19134.0,8.55,156.0,163.0,73.0,18978.0,25729.0,147.0,2.0,7.0,,
102年3月,22363757.0,7243213.0,15120544.0,22623.0,10.11,163.0,166.0,76.0,22460.0,30286.0,152.0,,11.0,,
102年4月,22335514.0,7246629.0,15088885.0,20639.0,9.23,147.0,148.0,49.0,20492.0,27403.0,139.0,3.0,4.0,1.0,
102年5月,22370531.0,7262393.0,15108138.0,22836.0,10.22,137.0,142.0,48.0,22699.0,30347.0,133.0,2.0,2.0,,
102年6月,22419144.0,7277998.0,15141146.0,22984.0,10.26,150.0,157.0,76.0,22834.0,31073.0,145.0,,5.0,,
102年7月,22456107.0,7297534.0,15158573.0,23430.0,10.44,158.0,166.0,67.0,23272.0,31281.0,153.0,1.0,4.0,,
102年8月,22237996.0,7298915.0,14939081.0,23184.0,10.37,137.0,141.0,67.0,23047.0,30623.0,133.0,2.0,2.0,,
102年9月,21646304.0,7307302.0,14339002.0,22538.0,10.27,163.0,169.0,56.0,22375.0,30383.0,153.0,,9.0,1.0,
102年10月,21629623.0,7323353.0,14306270.0,25145.0,11.62,160.0,167.0,55.0,24985.0,34290.0,156.0,1.0,3.0,,
102年11月,21636581.0,7342855.0,14293726.0,25371.0,11.73,159.0,161.0,69.0,25212.0,34345.0,149.0,,9.0,,1.0
102年12月,21562645.0,7367522.0,14195123.0,26847.0,12.43,171.0,177.0,84.0,26676.0,35629.0,165.0,,6.0,,
103年1月,21585998.0,7387299.0,14198699.0,27242.0,12.63,199.0,204.0,98.0,27043.0,36156.0,186.0,2.0,11.0,,
103年2月,21583375.0,7389423.0,14193952.0,21214.0,9.83,122.0,125.0,54.0,21092.0,28142.0,116.0,1.0,5.0,,
103年3月,21535010.0,7402867.0,14132143.0,23843.0,11.06,137.0,139.0,67.0,23706.0,31831.0,128.0,2.0,7.0,,
103年4月,21548889.0,7416753.0,14132136.0,24181.0,11.23,134.0,138.0,83.0,24047.0,32720.0,124.0,2.0,8.0,,
103年5月,21399173.0,7434703.0,13964470.0,24869.0,11.58,121.0,127.0,53.0,24748.0,32989.0,115.0,1.0,5.0,,
103年6月,21309303.0,7457061.0,13852242.0,25285.0,11.84,143.0,145.0,54.0,25142.0,33737.0,133.0,4.0,6.0,,
103年7月,21284482.0,7479775.0,13804707.0,26230.0,12.32,161.0,163.0,63.0,26069.0,35241.0,152.0,2.0,7.0,,
103年8月,21275990.0,7487105.0,13788885.0,25134.0,11.81,152.0,153.0,80.0,24982.0,33558.0,147.0,1.0,4.0,,
103年9月,21310919.0,7502129.0,13808790.0,25626.0,12.03,134.0,138.0,45.0,25492.0,34443.0,126.0,,7.0,,1.0
103年10月,21332118.0,7517904.0,13814214.0,27448.0,12.87,155.0,160.0,66.0,27293.0,37266.0,139.0,,16.0,,
103年11月,21339039.0,7536322.0,13802717.0,26901.0,12.61,139.0,145.0,48.0,26762.0,36711.0,125.0,2.0,11.0,1.0,
103年12月,21290313.0,7554319.0,13735994.0,29869.0,14.01,173.0,182.0,82.0,29696.0,39642.0,167.0,,5.0,,1.0
104年1月,21307420.0,7580535.0,13726885.0,26930.0,12.64,139.0,144.0,59.0,26791.0,36035.0,133.0,1.0,5.0,,
104年2月,21314468.0,7590182.0,13724286.0,21803.0,10.23,120.0,123.0,47.0,21683.0,29229.0,110.0,,10.0,,
104年3月,21319377.0,7599347.0,13720030.0,24880.0,11.67,149.0,153.0,52.0,24731.0,33364.0,141.0,1.0,6.0,,1.0
104年4月,21338537.0,7609531.0,13729006.0,24302.0,11.39,128.0,135.0,39.0,24174.0,32700.0,117.0,1.0,10.0,,
104年5月,21355257.0,7626383.0,13728874.0,24729.0,11.58,132.0,135.0,69.0,24597.0,32742.0,125.0,2.0,5.0,,
104年6月,21355328.0,7647372.0,13707956.0,26660.0,12.48,124.0,128.0,63.0,26536.0,35844.0,119.0,1.0,3.0,1.0,
104年7月,21340803.0,7671139.0,13669664.0,24584.0,11.52,129.0,141.0,61.0,24455.0,32851.0,119.0,4.0,6.0,,
104年8月,21343952.0,7676814.0,13667138.0,23868.0,11.18,146.0,152.0,93.0,23722.0,31671.0,139.0,1.0,6.0,,
104年9月,21378820.0,7685664.0,13693156.0,24639.0,11.53,128.0,131.0,54.0,24511.0,32962.0,123.0,,5.0,,
104年10月,21386814.0,7699304.0,13687510.0,26877.0,12.57,131.0,136.0,51.0,26746.0,36324.0,127.0,,4.0,,
104年11月,21405416.0,7718118.0,13687298.0,26730.0,12.49,156.0,161.0,56.0,26574.0,36333.0,152.0,1.0,3.0,,
104年12月,21400897.0,7739144.0,13661753.0,29411.0,13.74,157.0,157.0,79.0,29254.0,39295.0,151.0,,6.0,,
105年1月,21411825.0,7755790.0,13656035.0,27403.0,12.8,165.0,168.0,54.0,27238.0,35638.0,154.0,1.0,10.0,,
105年2月,21412810.0,7753495.0,13659315.0,23223.0,10.85,119.0,126.0,59.0,23104.0,30570.0,110.0,1.0,8.0,,
105年3月,21408173.0,7756035.0,13652138.0,25592.0,11.95,123.0,129.0,93.0,25469.0,33201.0,120.0,,3.0,,
105年4月,21403332.0,7760026.0,13643306.0,24130.0,11.27,135.0,137.0,53.0,23995.0,32100.0,130.0,1.0,3.0,,1.0
105年5月,21415449.0,7769948.0,13645501.0,25755.0,12.03,121.0,124.0,45.0,25634.0,34138.0,117.0,,3.0,,1.0
105年6月,21442437.0,7786122.0,13656315.0,26059.0,12.16,120.0,126.0,55.0,25939.0,34502.0,112.0,1.0,7.0,,
105年7月,21450654.0,7801302.0,13649352.0,25424.0,11.85,124.0,127.0,42.0,25300.0,33552.0,120.0,,4.0,,
105年8月,21453054.0,7800339.0,13652715.0,23534.0,10.97,138.0,143.0,68.0,23396.0,31099.0,131.0,1.0,5.0,,1.0
105年9月,21489722.0,7810600.0,13679122.0,23777.0,11.07,109.0,113.0,54.0,23668.0,31195.0,101.0,2.0,6.0,,
105年10月,21502605.0,7820374.0,13682231.0,25436.0,11.83,132.0,134.0,67.0,25304.0,33738.0,126.0,,6.0,,
105年11月,21512916.0,7832573.0,13680343.0,26048.0,12.11,137.0,140.0,76.0,25911.0,34609.0,130.0,,7.0,,
105年12月,21510650.0,7842423.0,13668227.0,29175.0,13.56,132.0,137.0,49.0,29043.0,38849.0,123.0,,9.0,,
106年1月,21526811.0,7857695.0,13669116.0,27595.0,12.82,112.0,118.0,54.0,27483.0,36454.0,107.0,1.0,4.0,,
106年2月,21532149.0,7856677.0,13675472.0,22689.0,10.54,112.0,144.0,68.0,22577.0,30010.0,105.0,1.0,6.0,,
106年3月,21553379.0,7865347.0,13688032.0,24911.0,11.56,106.0,110.0,52.0,24805.0,32920.0,99.0,,5.0,,2.0
106年4月,21560786.0,7870102.0,13690684.0,22450.0,10.41,129.0,133.0,67.0,22321.0,29681.0,122.0,1.0,6.0,,
106年5月,21585949.0,7880915.0,13705034.0,25058.0,11.62,107.0,113.0,53.0,24951.0,33392.0,101.0,1.0,5.0,,
106年6月,21603845.0,7891883.0,13711962.0,24901.0,11.53,113.0,114.0,47.0,24788.0,32437.0,108.0,2.0,3.0,,
106年7月,21614728.0,7903653.0,13711075.0,26381.0,12.21,126.0,133.0,73.0,26255.0,34876.0,117.0,,9.0,,
106年8月,21638897.0,7909284.0,13729613.0,24976.0,11.55,132.0,136.0,66.0,24844.0,33359.0,127.0,,5.0,,
106年9月,21670885.0,7917688.0,13753197.0,23665.0,10.93,121.0,127.0,92.0,23544.0,31416.0,113.0,1.0,7.0,,
106年10月,21691050.0,7926821.0,13764229.0,23633.0,10.9,125.0,128.0,82.0,23508.0,31767.0,122.0,2.0,1.0,,
106年11月,21708660.0,7939739.0,13768921.0,24865.0,11.46,111.0,116.0,40.0,24754.0,33158.0,106.0,,5.0,,
106年12月,21704365.0,7948783.0,13755582.0,25702.0,11.84,140.0,145.0,60.0,25562.0,33974.0,131.0,,9.0,,
107年1月,21725408.0,7961270.0,13764138.0,28307.0,13.04,127.0,128.0,52.0,28180.0,37176.0,121.0,,5.0,1.0,
107年2月,21734189.0,7964827.0,13769362.0,22974.0,10.57,81.0,82.0,58.0,22893.0,30247.0,79.0,,2.0,,
107年3月,21746355.0,7970145.0,13776210.0,27327.0,12.57,117.0,121.0,62.0,27210.0,36428.0,112.0,,5.0,,
107年4月,21753382.0,7972738.0,13780644.0,24481.0,11.26,115.0,118.0,44.0,24366.0,32858.0,111.0,1.0,3.0,,
107年5月,21769377.0,7980568.0,13788809.0,27208.0,12.5,111.0,113.0,35.0,27097.0,36816.0,102.0,,9.0,,
107年6月,21795010.0,7993240.0,13801770.0,26049.0,11.96,120.0,126.0,41.0,25929.0,34726.0,111.0,,9.0,,
107年7月,21806337.0,8004065.0,13802272.0,26009.0,11.93,116.0,119.0,55.0,25893.0,34727.0,110.0,,6.0,,
107年8月,21808992.0,8003351.0,13805641.0,25668.0,11.77,134.0,136.0,53.0,25534.0,33836.0,130.0,,4.0,,
107年9月,21836184.0,8010799.0,13825385.0,25523.0,11.7,132.0,136.0,62.0,25391.0,34145.0,125.0,2.0,5.0,,
107年10月,21845697.0,8017366.0,13828331.0,27464.0,12.57,111.0,115.0,50.0,27353.0,37111.0,103.0,2.0,6.0,,
107年11月,21859263.0,8026771.0,13832492.0,28138.0,12.88,143.0,144.0,67.0,27995.0,37734.0,134.0,1.0,8.0,,
107年12月,21871240.0,8035720.0,13835520.0,31167.0,14.25,150.0,155.0,68.0,31017.0,41598.0,143.0,1.0,4.0,,2.0
108年1月,21887552.0,8044503.0,13843049.0,31826.0,14.55,199.0,205.0,67.0,31627.0,42251.0,194.0,,5.0,,
108年2月,21891285.0,8042165.0,13849120.0,24796.0,11.33,137.0,140.0,73.0,24659.0,33365.0,125.0,,11.0,,1.0
108年3月,21905808.0,8046128.0,13859680.0,27553.0,12.58,146.0,150.0,90.0,27407.0,36733.0,140.0,1.0,5.0,,
108年4月,21920883.0,8049326.0,13871557.0,27613.0,12.6,141.0,142.0,61.0,27472.0,36937.0,131.0,1.0,9.0,,
108年5月,21939999.0,8059287.0,13880712.0,27764.0,12.66,136.0,138.0,64.0,27628.0,36873.0,126.0,,10.0,,
108年6月,21966182.0,8070280.0,13895902.0,27851.0,12.69,159.0,162.0,96.0,27692.0,36933.0,154.0,,5.0,,
108年7月,21987755.0,8081375.0,13906380.0,28626.0,13.03,136.0,137.0,59.0,28490.0,37943.0,125.0,1.0,9.0,,1.0
108年8月,21998364.0,8080860.0,13917504.0,26661.0,12.12,139.0,143.0,63.0,26522.0,34913.0,130.0,1.0,8.0,,
108年9月,22028230.0,8087404.0,13940826.0,26556.0,12.06,138.0,141.0,69.0,26418.0,35302.0,134.0,,3.0,,1.0
108年10月,22052896.0,8098010.0,13954886.0,28936.0,13.13,168.0,171.0,59.0,28768.0,39068.0,158.0,1.0,9.0,,
108年11月,22084071.0,8110970.0,13973101.0,31078.0,14.08,133.0,135.0,59.0,30945.0,41995.0,120.0,,12.0,,1.0
108年12月,22111807.0,8118885.0,13992922.0,32712.0,14.8,182.0,185.0,64.0,32530.0,43241.0,165.0,,17.0,,
109年1月,22102720.0,8119056.0,13983664.0,31529.0,14.26,187.0,191.0,89.0,31342.0,41905.0,176.0,1.0,10.0,,
109年2月,22128786.0,8127165.0,14001621.0,26921.0,12.17,170.0,171.0,65.0,26751.0,35676.0,158.0,1.0,11.0,,
109年3月,22138965.0,8131525.0,14007440.0,28499.0,12.88,148.0,154.0,53.0,28351.0,37927.0,142.0,,6.0,,
109年4月,22137026.0,8130496.0,14006530.0,27093.0,12.24,135.0,140.0,54.0,26958.0,36327.0,127.0,,8.0,,
109年5月,22153783.0,8140679.0,14013104.0,29378.0,13.27,136.0,138.0,64.0,29242.0,38780.0,128.0,,8.0,,
109年6月,22175602.0,8152288.0,14023314.0,30553.0,13.78,168.0,174.0,73.0,30385.0,40827.0,163.0,,5.0,,
109年7月,22200508.0,8161180.0,14039328.0,30874.0,13.91,144.0,147.0,70.0,30730.0,41139.0,138.0,,6.0,,
109年8月,22226118.0,8166951.0,14059167.0,29556.0,13.31,130.0,133.0,48.0,29426.0,39054.0,121.0,,8.0,1.0,
109年9月,22264293.0,8178242.0,14086051.0,28580.0,12.85,135.0,139.0,63.0,28445.0,38044.0,127.0,1.0,7.0,,
109年10月,22291007.0,8190643.0,14100364.0,30599.0,13.74,153.0,157.0,65.0,30446.0,41214.0,137.0,2.0,14.0,,
109年11月,22312836.0,8203074.0,14109762.0,33214.0,14.89,143.0,146.0,84.0,33071.0,44484.0,131.0,1.0,11.0,,
109年12月,22297000.0,8193237.0,14103763.0,35597.0,15.96,157.0,161.0,70.0,35440.0,47234.0,154.0,,3.0,,
110年1月,22327011.0,8211069.0,14115942.0,35808.0,16.05,176.0,179.0,74.0,35632.0,47557.0,169.0,,7.0,,
110年2月,22345340.0,8222171.0,14123169.0,28831.0,12.91,163.0,175.0,90.0,28668.0,38778.0,153.0,1.0,8.0,1.0,
110年3月,22380410.0,8240698.0,14139712.0,30507.0,13.64,145.0,154.0,87.0,30362.0,40929.0,141.0,1.0,3.0,,
110年4月,22405451.0,8253208.0,14152243.0,30278.0,13.52,136.0,138.0,55.0,30142.0,40906.0,130.0,,4.0,,2.0
110年5月,22423353.0,8257801.0,14165552.0,28069.0,12.52,162.0,167.0,65.0,27907.0,37404.0,154.0,,8.0,,
110年6月,22435245.0,8262226.0,14173019.0,21489.0,9.58,121.0,125.0,49.0,21368.0,27922.0,115.0,,6.0,,
110年7月,22454866.0,8274017.0,14180849.0,24753.0,11.03,143.0,147.0,56.0,24610.0,32373.0,137.0,,6.0,,
110年8月,22477330.0,8281602.0,14195728.0,27398.0,12.2,131.0,134.0,50.0,27267.0,35847.0,123.0,,8.0,,
110年9月,22517371.0,8298452.0,14218919.0,29150.0,12.96,148.0,151.0,58.0,29002.0,38594.0,141.0,2.0,5.0,,
110年10月,22546077.0,8308139.0,14237938.0,31993.0,14.2,164.0,165.0,76.0,31829.0,42739.0,154.0,,10.0,,
110年11月,22578924.0,8320305.0,14258619.0,33063.0,14.65,159.0,164.0,75.0,32904.0,44431.0,149.0,2.0,7.0,1.0,
110年12月,22597694.0,8330774.0,14266920.0,36882.0,16.33,158.0,161.0,62.0,36724.0,49090.0,152.0,,6.0,,
111年1月,22619852.0,8344809.0,14275043.0,33090.0,14.64,166.0,168.0,71.0,32924.0,43893.0,154.0,1.0,11.0,,
111年2月,22636331.0,8351785.0,14284546.0,24599.0,10.87,124.0,131.0,35.0,24475.0,32330.0,120.0,,4.0,,
111年3月,22656923.0,8360344.0,14296579.0,30943.0,13.66,161.0,166.0,68.0,30782.0,41087.0,154.0,1.0,6.0,,
